"Ward No","Ward Name","Sub Division","Division","Assembly Constituency","Zone Name","Park Name","Latitude ","Longitude","Square Meter","","","","","","","","",""
"7","Byatarayanapura","Byatarayanapura","Byatarayanapura","Byatarayanapura","Yelahanka","Amrutha nagara","13.057632","77.598194","2,985.00","","","","","","","","",""
"7","Byatarayanapura","Byatarayanapura","Byatarayanapura","Byatarayanapura","Yelahanka","Sahakaranagara Park No 02","13.059691","77.590044","6,474.00","","","","","","","","",""
"7","Byatarayanapura","Byatarayanapura","Byatarayanapura","Byatarayanapura","Yelahanka","3rd phase UAS layout in Jakkuru","13.082247","77.604348","6,248.00","","","","","","","","",""
"7","Byatarayanapura","Byatarayanapura","Byatarayanapura","Byatarayanapura","Yelahanka","UAS layout Shivanahalli park in Jakkuru","13.083634","77.604995","3,264.00","","","","","","","","",""
"7","Byatarayanapura","Byatarayanapura","Byatarayanapura","Byatarayanapura","Yelahanka","UAS Layout Narasimhaswamy Road park in Jakkuru","13.081538","77.607152","2,400.00","","","","","","","","",""
"7","Byatarayanapura","Byatarayanapura","Byatarayanapura","Byatarayanapura","Yelahanka","UAS Layout Chandra shekara kabmara road park in Jakkuru","13.081574","77.603037","1,500.00","","","","","","","","",""
"8","Kodigehalli","Byatarayanapura","Byatarayanapura","Byatarayanapura","Yelahanka","Sahakarangara Park No 03","13.062497","77.586243","10,534.00","","","","","","","","",""
"8","Kodigehalli","Byatarayanapura","Byatarayanapura","Byatarayanapura","Yelahanka","Tata nagara layout park","13.054751","77.574316","9,310.00","","","","","","","","",""
"8","Kodigehalli","Byatarayanapura","Byatarayanapura","Byatarayanapura","Yelahanka","Sahakaranagara CQAL Layout park","13.062889","77.581928","3,881.00","","","","","","","","",""
"8","Kodigehalli","Byatarayanapura","Byatarayanapura","Byatarayanapura","Yelahanka","Vidyaranyapura NTI Layout park","13.078423","77.555505","2,841.00","","","","","","","","",""
"8","Kodigehalli","Byatarayanapura","Byatarayanapura","Byatarayanapura","Yelahanka","TATa Nagara park No 02","13.069934","77.584821","3,600.00","","","","","","","","",""
"9","Vidyaranyapura","Vidyaranyapura","Byatarayanapura","Byatarayanapura","Yelahanka","HMT Layout in Vidyaranyapura","13.080096","77.556566","5,308.00","","","","","","","","",""
"9","Vidyaranyapura","Vidyaranyapura","Byatarayanapura","Byatarayanapura","Yelahanka","Canarabank layout Ganesha Temple park","13.076046","77.554539","12,000.00","","","","","","","","",""
"9","Vidyaranyapura","Vidyaranyapura","Byatarayanapura","Byatarayanapura","Yelahanka","3rd Block Anjaneyatemple park in Vidyaranyapura","13.071171","77.556747","2,000.00","","","","","","","","",""
"9","Vidyaranyapura","Vidyaranyapura","Byatarayanapura","Byatarayanapura","Yelahanka","Canarabank 7th Cross park","13.073302","77.55668","2,498.00","","","","","","","","",""
"9","Vidyaranyapura","Vidyaranyapura","Byatarayanapura","Byatarayanapura","Yelahanka","Vidyaranyapura 6th Block and Main park","13.082466","77.56235","3,551.00","","","","","","","","",""
"9","Vidyaranyapura","Vidyaranyapura","Byatarayanapura","Byatarayanapura","Yelahanka","Vidyaranyapura BEL Layout 6th Block 4th and 6th Main park","13.083787","77.5619","2,123.00","","","","","","","","",""
"9","Vidyaranyapura","Vidyaranyapura","Byatarayanapura","Byatarayanapura","Yelahanka","Vidyaranyapura 6th Block park","13.082724","77.563406","1,104.00","","","","","","","","",""
"9","Vidyaranyapura","Vidyaranyapura","Byatarayanapura","Byatarayanapura","Yelahanka","Vidyaranyapura 6th Block Near Bus stop park","13.084761","77.563702","1,438.00","","","","","","","","",""
"9","Vidyaranyapura","Vidyaranyapura","Byatarayanapura","Byatarayanapura","Yelahanka","BEL Layout 6th Block  park No  04","13.083128","77.56311","3,140.00","","","","","","","","",""
"9","Vidyaranyapura","Vidyaranyapura","Byatarayanapura","Byatarayanapura","Yelahanka","Near Govt School  park in Thindlu village","13.074229","77.566428","1,000.00","","","","","","","","",""
"10","Dodda Bommasandra","Vidyaranyapura","Byatarayanapura","Byatarayanapura","Yelahanka","Vidyaranyapura 2nd Block 4th Main park","13.071076","77.556855","3,898.00","","","","","","","","",""
"11","Kuvempu Nagara","Vidyaranyapura","Byatarayanapura","Byatarayanapura","Yelahanka","Vidyaranyapura Defence layout Devematha School park","13.083713","77.557349","7,394.00","","","","","","","","",""
"11","Kuvempu Nagara","Vidyaranyapura","Byatarayanapura","Byatarayanapura","Yelahanka","Singapura paradise layout park","13.084495","77.54216","1,000.00","","","","","","","","",""
"11","Kuvempu Nagara","Vidyaranyapura","Byatarayanapura","Byatarayanapura","Yelahanka","Ganesha layout park in M S Palya","13.08373","77.547581","4,000.00","","","","","","","","",""
"11","Kuvempu Nagara","Vidyaranyapura","Byatarayanapura","Byatarayanapura","Yelahanka","Ramachandrapura park","13.058586","77.549447","3,000.00","","","","","","","","",""
"11","Kuvempu Nagara","Vidyaranyapura","Byatarayanapura","Byatarayanapura","Yelahanka","Gutte Vinayaka Temple park in Kuvempu Nagara","13.087539","77.544246","1,500.00","","","","","","","","",""
"11","Kuvempu Nagara","Vidyaranyapura","Byatarayanapura","Byatarayanapura","Yelahanka","Lakkappa layout park in Singapura Circle","13.080893","77.537414","2,000.00","","","","","","","","",""
